Question,Category
How does Tdap differ from Td vaccine,4
Rate the movie Titanic,5
Describe the major clinical differences between visceral and somatic pain,2
How to specify the impact energy and impact test temperature of the material in the Code,3
Compose a class story.,6
What do you remember about last day?,1
"If interest were compounded monthly instead of daily, what would the difference in interest be?",4
Evaluate the level of galvanic coupling between two metals using basic kinetic information?,5
Compare two dog food commercials. What is the difference between them and how do they both sell their products?,4
How would you investigate this patient,4
Modify the code snippet for expected output,2
How would you define life?,1
"From the information given, can you develop a set of instructions about to implement the solution in a small- to-medium sized network?",3
"Given a graph of production trends in automobiles, describe what the graph represents in a memo to your boss.",2
What are major facts about particular cultures and societies,1
Classify animals into two groups.,2
how would you express feeling of girl who topped mpsc exam?,2
How was life different in your town 100 years ago?,4
Evaluate the corrosion monitoring needs of a chemical processing plant ,5
Rewrite a part in the poem using a different speaker,2
How would you identify simulation problems?,1
Why don’t you devise your own way to deal with stress and anxiety?,6
Defend your use of a specific strategy in solving the problem.,5
Describe in your own words how to borrow a book from the library.,2
Compare and contrast animals that the class has made.,4
When did the second world war happen ,1
What would you do if a heavy growth of bacteria had occurred ,3
How does your agency inspect against its expectation for operators ,4
Plan a new Surgical Strike,6
Make a radio announcement that advertise the book. Write it out.,6
Calculate the number of sacrificial anodes that would be required to form a calcareous deposit on a steel pile immersed in seawater. ,3
How many ways can you kill a person?,6
Label the parts of the following insects: Grasshopper,1
 How do you construct foliations on a given manifold M?,3
Can you design a neural network to implement automatic question paper generator?,6
Name the four major food groups.,1
Illustrate what you think the main idea was.,2
Develop one plausible ending for all three short stories below.,6
Make a scrapbook about the areas of study.,3
Compose a simple rap or rhyme about zoo animals.,6
Create a new product. Give it a name and plan a marketing campaign.,6
Break down the main actions of the story.,4
What factors would you change if you become next prime minister?,3
"Given three possible approaches to implement the defined system, discuss the possible advantages and disadvantages of each approach.",5
Retell the story in your words.,2
What are types of data?,1
Recite the principles of the Data Protection Act.,1
Examine the code snippet,2
Compute the area of actual circles.,3
How would you recognize patterns?,1
Can you explain what must have happened when Sunita removed her makeup?,4
Compare ACL and CL on basic of different parameters,3
Can you distinguish aged rums from unaged rums by smell,4
"Paraphrase this poem about Sheik Schubli, explaining what he was saying about the characteristics of a friend",2
Translate an equation into a spreadsheet formula.,2
Would this information be useful if you had a IQ level above 100?,3
Estimate roughly how long the collision process takes,5
How would you decide about your future depending on your past?,5
Prepare the chart of various data types and their range,2
What criteria would you use to assess Student's understanding level?,5
How would you relate position concept with position strategy,3
How much time did he took to build a house,1
Name the food groups and at least two items of food in each group.,1
Recommend how our classroom or playground could be improved.,5
Describe in your own words what happens when a stream's velocity slows.,2
Recall locations of a historical events,1
Summarize a story in own words.,2
How could we develop a coherent measure of success for organisations engaged in this type of activity with young people?,6
"Identify a property (commutative, additive, etc(",1
Recall the definition of the formula datatype from your assignment 2.,1
Recall the concept of abstract class,1
Evaluate board games and justify why rules are important.,5
Differentiate between .call by value and call by reference.,4
How would you differentiate obstructive apneas from central apneas,4
Design and make an animal that moves.,6
List three characteristics that are unique to the Cubist movement.,1
"Explain the double meaning the author attributes to the term ""successive action descriptions""",2
Examine the data in the EMPLOYEES and DEPARTMENTS tables,4
 What happens if you restrict a determinental process to a subset R  S? ,3
How do we efficiently combine multiple subject graphs to construct an aig with choice,6
Paraphrase an important speech,2
Identify one problem in the book and give an alternate solution one not given by the author.,6
Research nepotism and Separate it from real life scenario,4
Relate your most powerful story where your use of technology in the classroom has yielded a significant outcome with a student or students,3
What are the parts or features of Mercedes-Benz GLA 45 AMG?,4
Examine differences between the means of each individual switching factor.,4
Use a sketch too find the exact value of each expression,3
Can you write a new recipe for a tasty dish?,6
How do we construct agents that can deliver. “good” assistance,3
Explain choices made in making recommendations to an end user.,5
Write a short story relating a personal experience in the style of a picaresque novel.,6
State the guidelines to design an anodic protection system,1
Conclude and support which economic system leads to a higher standard of living.,5
when was the UN formed ,1
Which of the following is the method for determining the volume of a cylinder?,1
How would you have handled depression?,5
Paraphrase what Hamlet is saying in his soliloquy.,2
"By comparing the map of the tectonic plates to the earthquake map, what inferences can you make?",4
Given two opposing theories design an experiment to compare them.,6
Explain the causes of historical events,2
How does NIT compare with IIT?,4
How does NIT compare with IIT?,4
"Given an argument on any position, enumerate the logical fallacies in that argument.",5
when was the first airport in the yemen built,1
State the pattern for expressing time in French.,1
Compose a device that would assist an athlete in their training.,6
What is  your family name,1
"Which of the two algorithms, bubblesort or quicksort, is more efficient? Justify your answer.",5
Investigate innovations that can enhance future Olympics.,4
Make up a new language code and write material using it.,6
Compare and contrast our school to other communities.,4
Differentiate printf function calls for displaying prompts and for echoing data.,4
Which of the following item does not belong to the set ?,1
Develop a plan for a new Olympic Bid System.,6
Distinguish between the following giving suitable examples,4
In one sentence explain the main idea of a written passage.,2
How do you analyze a marginally RCT ,4
Use a judge and jury to discuss the statement 'Children enjoy Anthony Browne's books because of the illustrations'.,5
Explain the process (paraphrase) for finding the perimeter of a rectangular garden,2
Use a costing model to compute prices on goods to maximise profits and minimise costs.,3
Describe the output of this program fragment:,2
"Draw 3 pictures showing the beginning, middle and ending of the story.",3
Distinguish facts from hypotheses,4
"There are 3 birds.2 flew. How many left?",4
List the procedure to draw a mixed potential or Evans' diagram,1
State the definition of application in Bloom's Taxonomy.,1
How do we differentiate between genuine buyer and undercover buyer,4
Decide whether you are in favor of building on a floodplain; defend your position in a debate.,5
How would you classify the geographic location of your school,2
How would you create/design a new lokpal bill?,6
"Can you group by characteristics such as happiness?",3
State in your own words the rule for balls and strikes in baseball.,2
"Combine elements of drama, music, and dance into a stage presentation.",6
What solutions would you suggest for controlling overpopulation ?,6
who is the founder of the kingdom of saudi Arabia,1
Summarize a historical document,2
Explain the communicative property.,2
"After designing an experiment, examining the results, and drawing conclusions, determines in what ways the experiment could be conducted more effectively in order to draw more productive conclusions in the future.",5
Illustrate the differences between the American alligator and the Nile crocodile,3
Break down the components of a standard film camera and explain how they interact to make the machine work.,4
Pretend you are one of the characters in the book. Write a diary about the happenings in your life for two consecutive days.,3
analyze the positive and negative points presented concerning the abolition of guns and write a brief (2-3page) narrative of your analysis.,4
Can you defend the idea that Simon's incident with the pig's head is the most mystical in the story?,5
